,Unnamed: 0,arg0,arg1,v
772,772, A false belief, the self or persons or objects, regarding
773,773, by false personal beliefs, A disorder, characterized
775,775, False personal beliefs, contrary, held
777,777, The person, make voluntary movements, can
780,780," by bewilderment , emotional disturbance", A mental state, characterized
783,783, by a lack of clear and orderly thought and behavior, A disorder, characterized
800,800, conditions," your thinking , feeling , mood , and behavior", affect
807,807, You," answer questions about your thinking , feelings , and behaviors", will
808,808, Treatment, on which mental disorder you have and how serious it is, depends
809,809, You and your provider, work on a treatment plan just for you, will
812,812, Some people, social support and education, need
818,818, by behavioral and/or psychological abnormalities, A disorder, characterized
823,823, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
829,829, The nature of these complications, on the pharmacological class of substance and mode of administration, depends
830,830, An individual in a coma, his or her environment, move
833,833, The outcome for coma," on the cause , severity , and site of the damage", depends
843,843, a condition, rapidly changing mental states, features
844,844, It, confusion and changes in behavior, causes
854,854, People with delirium, a full recovery, make
857,857," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
858,858," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
861,861, by CONFUSION, A disorder, characterized
866,866, people, of seizures, think
867,867, Not all seizures, convulsions, cause
874,874, who, seizures, recurring
876,876," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
881,881, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
884,884, A pattern of psychoactive substance use, damage to health, causing
889,889, It," digest food , store energy", helps
890,890, Viruses, most cases of hepatitis, cause
893,893, your body, healthy cells in the liver, attacks
904,904, It," digest food , store energy", helps
905,905, by the hepatitis A virus ( HAV )," One type , hepatitis A ,", caused
914,914, The hepatitis A vaccine, prevent HAV, can
920,920, by the hepatitis A virus, the liver, caused
922,922, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
926,926, dependence," the term "" drug addiction", replaced
935,935, people, of seizures, think
936,936, Not all seizures, convulsions, cause
943,943, who, seizures, recurring
945,945," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
949,949, by the patient," "" Subjective evidence of disease", perceived
951,951, by delirium, 3, complicated
954,954, a condition, rapidly changing mental states, features
955,955, It, confusion and changes in behavior, causes
965,965, People with delirium, a full recovery, make
968,968," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
969,969," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
972,972, by CONFUSION, A disorder, characterized
977,977, people, of seizures, think
978,978, Not all seizures, convulsions, cause
985,985, who, seizures, recurring
987,987," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
992,992, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
996,996," by hallucinations ( typically auditory , but often in more than one sensory modality ) , perceptual distortions , delusions ( often of a paranoid or persecutory nature ) , psychomotor disturbances ( excitement or stupor ) , and an abnormal affect , which may range from intense fear to ecstasy", The disorder, characterized
1001,1001, by a false sensory perception, A disorder, characterized
1002,1002, by the individual, an appropriate stimulus, regarded
1004,1004, mental disorders, abnormal thinking and perceptions, cause
1005,1005, People with psychoses, touch, lose
1010,1010, Treatment, on the cause of the psychosis, depends
1013,1013, a person, the ability to recognize reality or relate to others, loses
1014,1014, The person, with the demands of everyday life, cope
1016,1016," by personality change ,", A mental disorder, characterized
1017,1017, by impaired reality which may include perceptual disturbances, A mental state, characterized
1018,1018," by personality change , impaired functioning , and loss of touch with", A disorder, characterized
1022,1022, conditions," your thinking , feeling , mood , and behavior", affect
1029,1029, You," answer questions about your thinking , feelings , and behaviors", will
1030,1030, Treatment, on which mental disorder you have and how serious it is, depends
1031,1031, You and your provider, work on a treatment plan just for you, will
1034,1034, Some people, social support and education, need
1040,1040, by behavioral and/or psychological abnormalities, A disorder, characterized
1045,1045, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
1048,1048, A false belief, the self or persons or objects, regarding
1049,1049, by false personal beliefs, A disorder, characterized
1051,1051, False personal beliefs, contrary, held
1053,1053, The person, make voluntary movements, can
1056,1056," by bewilderment , emotional disturbance", A mental state, characterized
1059,1059, by a lack of clear and orderly thought and behavior, A disorder, characterized
1074,1074, conditions," your thinking , feeling , mood , and behavior", affect
1081,1081, You," answer questions about your thinking , feelings , and behaviors", will
1082,1082, Treatment, on which mental disorder you have and how serious it is, depends
1083,1083, You and your provider, work on a treatment plan just for you, will
1086,1086, Some people, social support and education, need
1092,1092, by behavioral and/or psychological abnormalities, A disorder, characterized
1097,1097, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
1103,1103, The nature of these complications, on the pharmacological class of substance and mode of administration, depends
1104,1104, a condition, rapidly changing mental states, features
1105,1105, It, confusion and changes in behavior, causes
1115,1115, People with delirium, a full recovery, make
1118,1118," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
1119,1119," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
1122,1122, by CONFUSION, A disorder, characterized
1124,1124, An individual in a coma, his or her environment, move
1127,1127, The outcome for coma," on the cause , severity , and site of the damage", depends
1140,1140, people, of seizures, think
1141,1141, Not all seizures, convulsions, cause
1148,1148, who, seizures, recurring
1150,1150," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
1155,1155, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
1158,1158, A pattern of psychoactive substance use, damage to health, causing
1160,1160, It," digest food , store energy", helps
1161,1161, Viruses, most cases of hepatitis, cause
1164,1164, your body, healthy cells in the liver, attacks
1175,1175, It," digest food , store energy", helps
1176,1176, by the hepatitis A virus ( HAV )," One type , hepatitis A ,", caused
1185,1185, The hepatitis A vaccine, prevent HAV, can
1191,1191, by the hepatitis A virus, the liver, caused
1193,1193, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
1200,1200, dependence," the term "" drug addiction", replaced
1204,1204, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
1213,1213, people, of seizures, think
1214,1214, Not all seizures, convulsions, cause
1221,1221, who, seizures, recurring
1223,1223," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
1227,1227, by the patient," "" Subjective evidence of disease", perceived
1229,1229, by delirium, 3, complicated
1232,1232, a condition, rapidly changing mental states, features
1233,1233, It, confusion and changes in behavior, causes
1243,1243, People with delirium, a full recovery, make
1246,1246," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
1247,1247," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
1250,1250, by CONFUSION, A disorder, characterized
1255,1255, people, of seizures, think
1256,1256, Not all seizures, convulsions, cause
1263,1263, who, seizures, recurring
1265,1265," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
1270,1270, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
1274,1274," by hallucinations ( typically auditory , but often in more than one sensory modality ) , perceptual distortions , delusions ( often of a paranoid or persecutory nature ) , psychomotor disturbances ( excitement or stupor ) , and an abnormal affect , which may range from intense fear to ecstasy", The disorder, characterized
1279,1279, by a false sensory perception, A disorder, characterized
1280,1280, by the individual, an appropriate stimulus, regarded
1282,1282, mental disorders, abnormal thinking and perceptions, cause
1283,1283, People with psychoses, touch, lose
1288,1288, Treatment, on the cause of the psychosis, depends
1291,1291, a person, the ability to recognize reality or relate to others, loses
1292,1292, The person, with the demands of everyday life, cope
1294,1294," by personality change ,", A mental disorder, characterized
1295,1295, by impaired reality which may include perceptual disturbances, A mental state, characterized
1296,1296," by personality change , impaired functioning , and loss of touch with", A disorder, characterized
1300,1300, conditions," your thinking , feeling , mood , and behavior", affect
1307,1307, You," answer questions about your thinking , feelings , and behaviors", will
1308,1308, Treatment, on which mental disorder you have and how serious it is, depends
1309,1309, You and your provider, work on a treatment plan just for you, will
1312,1312, Some people, social support and education, need
1318,1318, by behavioral and/or psychological abnormalities, A disorder, characterized
1323,1323, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
1326,1326, A false belief, the self or persons or objects, regarding
1327,1327, by false personal beliefs, A disorder, characterized
1329,1329, False personal beliefs, contrary, held
1331,1331, The person, make voluntary movements, can
1334,1334," by bewilderment , emotional disturbance", A mental state, characterized
1337,1337, by a lack of clear and orderly thought and behavior, A disorder, characterized
1354,1354, conditions," your thinking , feeling , mood , and behavior", affect
1361,1361, You," answer questions about your thinking , feelings , and behaviors", will
1362,1362, Treatment, on which mental disorder you have and how serious it is, depends
1363,1363, You and your provider, work on a treatment plan just for you, will
1366,1366, Some people, social support and education, need
1372,1372, by behavioral and/or psychological abnormalities, A disorder, characterized
1377,1377, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
1383,1383, The nature of these complications, on the pharmacological class of substance and mode of administration, depends
1384,1384, a condition, rapidly changing mental states, features
1385,1385, It, confusion and changes in behavior, causes
1395,1395, People with delirium, a full recovery, make
1398,1398," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
1399,1399," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
1402,1402, by CONFUSION, A disorder, characterized
1404,1404, An individual in a coma, his or her environment, move
1407,1407, The outcome for coma," on the cause , severity , and site of the damage", depends
1420,1420, people, of seizures, think
1421,1421, Not all seizures, convulsions, cause
1428,1428, who, seizures, recurring
1430,1430," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
1435,1435, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
1438,1438, A pattern of psychoactive substance use, damage to health, causing
1443,1443, It," digest food , store energy", helps
1444,1444, Viruses, most cases of hepatitis, cause
1447,1447, your body, healthy cells in the liver, attacks
1458,1458, It," digest food , store energy", helps
1459,1459, by the hepatitis A virus ( HAV )," One type , hepatitis A ,", caused
1468,1468, The hepatitis A vaccine, prevent HAV, can
1474,1474, by the hepatitis A virus, the liver, caused
1476,1476, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
1481,1481, dependence," the term "" drug addiction", replaced
1491,1491, people, of seizures, think
1492,1492, Not all seizures, convulsions, cause
1499,1499, who, seizures, recurring
1501,1501," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
1505,1505, by the patient," "" Subjective evidence of disease", perceived
1507,1507, by delirium, 3, complicated
1510,1510, a condition, rapidly changing mental states, features
1511,1511, It, confusion and changes in behavior, causes
1521,1521, People with delirium, a full recovery, make
1524,1524," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
1525,1525," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
1528,1528, by CONFUSION, A disorder, characterized
1533,1533, people, of seizures, think
1534,1534, Not all seizures, convulsions, cause
1541,1541, who, seizures, recurring
1543,1543," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
1548,1548, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
1552,1552," by hallucinations ( typically auditory , but often in more than one sensory modality ) , perceptual distortions , delusions ( often of a paranoid or persecutory nature ) , psychomotor disturbances ( excitement or stupor ) , and an abnormal affect , which may range from intense fear to ecstasy", The disorder, characterized
1557,1557, by a false sensory perception, A disorder, characterized
1558,1558, by the individual, an appropriate stimulus, regarded
1560,1560, mental disorders, abnormal thinking and perceptions, cause
1561,1561, People with psychoses, touch, lose
1566,1566, Treatment, on the cause of the psychosis, depends
1569,1569, a person, the ability to recognize reality or relate to others, loses
1570,1570, The person, with the demands of everyday life, cope
1572,1572," by personality change ,", A mental disorder, characterized
1573,1573, by impaired reality which may include perceptual disturbances, A mental state, characterized
1574,1574," by personality change , impaired functioning , and loss of touch with", A disorder, characterized
1578,1578, conditions," your thinking , feeling , mood , and behavior", affect
1585,1585, You," answer questions about your thinking , feelings , and behaviors", will
1586,1586, Treatment, on which mental disorder you have and how serious it is, depends
1587,1587, You and your provider, work on a treatment plan just for you, will
1590,1590, Some people, social support and education, need
1596,1596, by behavioral and/or psychological abnormalities, A disorder, characterized
1601,1601, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
1604,1604, A false belief, the self or persons or objects, regarding
1605,1605, by false personal beliefs, A disorder, characterized
1607,1607, False personal beliefs, contrary, held
1609,1609, The person, make voluntary movements, can
1612,1612," by bewilderment , emotional disturbance", A mental state, characterized
1615,1615, by a lack of clear and orderly thought and behavior, A disorder, characterized
1630,1630, conditions," your thinking , feeling , mood , and behavior", affect
1637,1637, You," answer questions about your thinking , feelings , and behaviors", will
1638,1638, Treatment, on which mental disorder you have and how serious it is, depends
1639,1639, You and your provider, work on a treatment plan just for you, will
1642,1642, Some people, social support and education, need
1648,1648, by behavioral and/or psychological abnormalities, A disorder, characterized
1653,1653, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
1659,1659, The nature of these complications, on the pharmacological class of substance and mode of administration, depends
1660,1660, a condition, rapidly changing mental states, features
1661,1661, It, confusion and changes in behavior, causes
1671,1671, People with delirium, a full recovery, make
1674,1674," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
1675,1675," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
1678,1678, by CONFUSION, A disorder, characterized
1680,1680, An individual in a coma, his or her environment, move
1683,1683, The outcome for coma," on the cause , severity , and site of the damage", depends
1696,1696, people, of seizures, think
1697,1697, Not all seizures, convulsions, cause
1704,1704, who, seizures, recurring
1706,1706," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
1711,1711, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
1714,1714, A pattern of psychoactive substance use, damage to health, causing
1716,1716, It," digest food , store energy", helps
1717,1717, Viruses, most cases of hepatitis, cause
1720,1720, your body, healthy cells in the liver, attacks
1731,1731, It," digest food , store energy", helps
1732,1732, by the hepatitis A virus ( HAV )," One type , hepatitis A ,", caused
1741,1741, The hepatitis A vaccine, prevent HAV, can
1747,1747, by the hepatitis A virus, the liver, caused
1749,1749, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
1753,1753, dependence," the term "" drug addiction", replaced
1762,1762, people, of seizures, think
1763,1763, Not all seizures, convulsions, cause
1770,1770, who, seizures, recurring
1772,1772," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
1776,1776, by the patient," "" Subjective evidence of disease", perceived
1778,1778, by delirium, 3, complicated
1781,1781, a condition, rapidly changing mental states, features
1782,1782, It, confusion and changes in behavior, causes
1792,1792, People with delirium, a full recovery, make
1795,1795," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
1796,1796," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
1799,1799, by CONFUSION, A disorder, characterized
1804,1804, people, of seizures, think
1805,1805, Not all seizures, convulsions, cause
1812,1812, who, seizures, recurring
1814,1814," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
1819,1819, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
1823,1823," by hallucinations ( typically auditory , but often in more than one sensory modality ) , perceptual distortions , delusions ( often of a paranoid or persecutory nature ) , psychomotor disturbances ( excitement or stupor ) , and an abnormal affect , which may range from intense fear to ecstasy", The disorder, characterized
1828,1828, by a false sensory perception, A disorder, characterized
1829,1829, by the individual, an appropriate stimulus, regarded
1831,1831, mental disorders, abnormal thinking and perceptions, cause
1832,1832, People with psychoses, touch, lose
1837,1837, Treatment, on the cause of the psychosis, depends
1840,1840, a person, the ability to recognize reality or relate to others, loses
1841,1841, The person, with the demands of everyday life, cope
1843,1843," by personality change ,", A mental disorder, characterized
1844,1844, by impaired reality which may include perceptual disturbances, A mental state, characterized
1845,1845," by personality change , impaired functioning , and loss of touch with", A disorder, characterized
1849,1849, conditions," your thinking , feeling , mood , and behavior", affect
1856,1856, You," answer questions about your thinking , feelings , and behaviors", will
1857,1857, Treatment, on which mental disorder you have and how serious it is, depends
1858,1858, You and your provider, work on a treatment plan just for you, will
1861,1861, Some people, social support and education, need
1867,1867, by behavioral and/or psychological abnormalities, A disorder, characterized
1872,1872, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
1875,1875, A false belief, the self or persons or objects, regarding
1876,1876, by false personal beliefs, A disorder, characterized
1878,1878, False personal beliefs, contrary, held
1880,1880, The person, make voluntary movements, can
1883,1883," by bewilderment , emotional disturbance", A mental state, characterized
1886,1886, by a lack of clear and orderly thought and behavior, A disorder, characterized
1903,1903, conditions," your thinking , feeling , mood , and behavior", affect
1910,1910, You," answer questions about your thinking , feelings , and behaviors", will
1911,1911, Treatment, on which mental disorder you have and how serious it is, depends
1912,1912, You and your provider, work on a treatment plan just for you, will
1915,1915, Some people, social support and education, need
1921,1921, by behavioral and/or psychological abnormalities, A disorder, characterized
1926,1926, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
1932,1932, The nature of these complications, on the pharmacological class of substance and mode of administration, depends
1933,1933, An individual in a coma, his or her environment, move
1936,1936, The outcome for coma," on the cause , severity , and site of the damage", depends
1946,1946, a condition, rapidly changing mental states, features
1947,1947, It, confusion and changes in behavior, causes
1957,1957, People with delirium, a full recovery, make
1960,1960," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
1961,1961," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
1964,1964, by CONFUSION, A disorder, characterized
1969,1969, people, of seizures, think
1970,1970, Not all seizures, convulsions, cause
1977,1977, who, seizures, recurring
1979,1979," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
1984,1984, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
1987,1987, A pattern of psychoactive substance use, damage to health, causing
1989,1989, It," digest food , store energy", helps
1990,1990, Viruses, most cases of hepatitis, cause
1993,1993, your body, healthy cells in the liver, attacks
2004,2004, It," digest food , store energy", helps
2005,2005, by the hepatitis A virus ( HAV )," One type , hepatitis A ,", caused
2014,2014, The hepatitis A vaccine, prevent HAV, can
2020,2020, by the hepatitis A virus, the liver, caused
2022,2022, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
2032,2032, people, of seizures, think
2033,2033, Not all seizures, convulsions, cause
2040,2040, who, seizures, recurring
2042,2042," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
2046,2046, by the patient," "" Subjective evidence of disease", perceived
2048,2048, by delirium, 3, complicated
2051,2051, a condition, rapidly changing mental states, features
2052,2052, It, confusion and changes in behavior, causes
2062,2062, People with delirium, a full recovery, make
2065,2065," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
2066,2066," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
2069,2069, by CONFUSION, A disorder, characterized
2074,2074, people, of seizures, think
2075,2075, Not all seizures, convulsions, cause
2082,2082, who, seizures, recurring
2084,2084," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
2089,2089, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
2093,2093," by hallucinations ( typically auditory , but often in more than one sensory modality ) , perceptual distortions , delusions ( often of a paranoid or persecutory nature ) , psychomotor disturbances ( excitement or stupor ) , and an abnormal affect , which may range from intense fear to ecstasy", The disorder, characterized
2098,2098, by a false sensory perception, A disorder, characterized
2099,2099, by the individual, an appropriate stimulus, regarded
2101,2101, mental disorders, abnormal thinking and perceptions, cause
2102,2102, People with psychoses, touch, lose
2107,2107, Treatment, on the cause of the psychosis, depends
2110,2110, a person, the ability to recognize reality or relate to others, loses
2111,2111, The person, with the demands of everyday life, cope
2113,2113," by personality change ,", A mental disorder, characterized
2114,2114, by impaired reality which may include perceptual disturbances, A mental state, characterized
2115,2115," by personality change , impaired functioning , and loss of touch with", A disorder, characterized
2119,2119, conditions," your thinking , feeling , mood , and behavior", affect
2126,2126, You," answer questions about your thinking , feelings , and behaviors", will
2127,2127, Treatment, on which mental disorder you have and how serious it is, depends
2128,2128, You and your provider, work on a treatment plan just for you, will
2131,2131, Some people, social support and education, need
2137,2137, by behavioral and/or psychological abnormalities, A disorder, characterized
2142,2142, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
2145,2145, A false belief, the self or persons or objects, regarding
2146,2146, by false personal beliefs, A disorder, characterized
2148,2148, False personal beliefs, contrary, held
2150,2150, The person, make voluntary movements, can
2153,2153," by bewilderment , emotional disturbance", A mental state, characterized
2156,2156, by a lack of clear and orderly thought and behavior, A disorder, characterized
2173,2173, conditions," your thinking , feeling , mood , and behavior", affect
2180,2180, You," answer questions about your thinking , feelings , and behaviors", will
2181,2181, Treatment, on which mental disorder you have and how serious it is, depends
2182,2182, You and your provider, work on a treatment plan just for you, will
2185,2185, Some people, social support and education, need
2191,2191, by behavioral and/or psychological abnormalities, A disorder, characterized
2196,2196, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
2202,2202, The nature of these complications, on the pharmacological class of substance and mode of administration, depends
2203,2203, An individual in a coma, his or her environment, move
2206,2206, The outcome for coma," on the cause , severity , and site of the damage", depends
2216,2216, a condition, rapidly changing mental states, features
2217,2217, It, confusion and changes in behavior, causes
2227,2227, People with delirium, a full recovery, make
2230,2230," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
2231,2231," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
2234,2234, by CONFUSION, A disorder, characterized
2239,2239, people, of seizures, think
2240,2240, Not all seizures, convulsions, cause
2247,2247, who, seizures, recurring
2249,2249," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
2254,2254, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
2257,2257, A pattern of psychoactive substance use, damage to health, causing
2259,2259, It," digest food , store energy", helps
2260,2260, Viruses, most cases of hepatitis, cause
2263,2263, your body, healthy cells in the liver, attacks
2274,2274, It," digest food , store energy", helps
2275,2275, by the hepatitis A virus ( HAV )," One type , hepatitis A ,", caused
2284,2284, The hepatitis A vaccine, prevent HAV, can
2290,2290, by the hepatitis A virus, the liver, caused
2292,2292, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
2296,2296, dependence," the term "" drug addiction", replaced
2305,2305, people, of seizures, think
2306,2306, Not all seizures, convulsions, cause
2313,2313, who, seizures, recurring
2315,2315," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
2319,2319, by the patient," "" Subjective evidence of disease", perceived
2321,2321, by delirium, 3, complicated
2324,2324, a condition, rapidly changing mental states, features
2325,2325, It, confusion and changes in behavior, causes
2335,2335, People with delirium, a full recovery, make
2338,2338," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
2339,2339," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
2342,2342, by CONFUSION, A disorder, characterized
2347,2347, people, of seizures, think
2348,2348, Not all seizures, convulsions, cause
2355,2355, who, seizures, recurring
2357,2357," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
2362,2362, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
2366,2366," by hallucinations ( typically auditory , but often in more than one sensory modality ) , perceptual distortions , delusions ( often of a paranoid or persecutory nature ) , psychomotor disturbances ( excitement or stupor ) , and an abnormal affect , which may range from intense fear to ecstasy", The disorder, characterized
2371,2371, by a false sensory perception, A disorder, characterized
2372,2372, by the individual, an appropriate stimulus, regarded
2374,2374, mental disorders, abnormal thinking and perceptions, cause
2375,2375, People with psychoses, touch, lose
2380,2380, Treatment, on the cause of the psychosis, depends
2383,2383, a person, the ability to recognize reality or relate to others, loses
2384,2384, The person, with the demands of everyday life, cope
2386,2386," by personality change ,", A mental disorder, characterized
2387,2387, by impaired reality which may include perceptual disturbances, A mental state, characterized
2388,2388," by personality change , impaired functioning , and loss of touch with", A disorder, characterized
2392,2392, conditions," your thinking , feeling , mood , and behavior", affect
2399,2399, You," answer questions about your thinking , feelings , and behaviors", will
2400,2400, Treatment, on which mental disorder you have and how serious it is, depends
2401,2401, You and your provider, work on a treatment plan just for you, will
2404,2404, Some people, social support and education, need
2410,2410, by behavioral and/or psychological abnormalities, A disorder, characterized
2415,2415, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
2418,2418, A false belief, the self or persons or objects, regarding
2419,2419, by false personal beliefs, A disorder, characterized
2421,2421, False personal beliefs, contrary, held
2423,2423, The person, make voluntary movements, can
2426,2426," by bewilderment , emotional disturbance", A mental state, characterized
2429,2429, by a lack of clear and orderly thought and behavior, A disorder, characterized
2446,2446, conditions," your thinking , feeling , mood , and behavior", affect
2453,2453, You," answer questions about your thinking , feelings , and behaviors", will
2454,2454, Treatment, on which mental disorder you have and how serious it is, depends
2455,2455, You and your provider, work on a treatment plan just for you, will
2458,2458, Some people, social support and education, need
2464,2464, by behavioral and/or psychological abnormalities, A disorder, characterized
2469,2469, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
2475,2475, The nature of these complications, on the pharmacological class of substance and mode of administration, depends
2476,2476, An individual in a coma, his or her environment, move
2479,2479, The outcome for coma," on the cause , severity , and site of the damage", depends
2489,2489, a condition, rapidly changing mental states, features
2490,2490, It, confusion and changes in behavior, causes
2500,2500, People with delirium, a full recovery, make
2503,2503," by fluctuations in orientation , concentration and ability to think clearly", A mental state, characterized
2504,2504," by the acute and sudden development of confusion , illusions , movement changes , inattentiveness , agitation , and hallucinations", A usually reversible condition, characterized
2507,2507, by CONFUSION, A disorder, characterized
2510,2510, people, of seizures, think
2511,2511, Not all seizures, convulsions, cause
2518,2518, who, seizures, recurring
2520,2520," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
2525,2525, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
2528,2528, A pattern of psychoactive substance use, damage to health, causing
2533,2533, It," digest food , store energy", helps
2534,2534, Viruses, most cases of hepatitis, cause
2537,2537, your body, healthy cells in the liver, attacks
2546,2546, It," digest food , store energy", helps
2547,2547, by the hepatitis A virus ( HAV )," One type , hepatitis A ,", caused
2556,2556, The hepatitis A vaccine, prevent HAV, can
2562,2562, by the hepatitis A virus, the liver, caused
2564,2564, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
2568,2568, dependence," the term "" drug addiction", replaced
2575,2575, people, of seizures, think
2576,2576, Not all seizures, convulsions, cause
2583,2583, who, seizures, recurring
2585,2585," by a sudden , involuntary skeletal muscular contractions of cerebral or brain stem origin", A disorder, characterized
2589,2589, by the patient," "" Subjective evidence of disease", perceived
